,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,maximum_minimum_nights,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,booking_ratio,total_amenities
1559,within a day,100,96,t,t,t,Clinton Hill,Private room in condo,Private room,1,1.0,1 shared bath,1.0,1.0,80.0,5,17,5.0,4.82,4.86,4.95,4.95,4.86,4.79,f,0.1917808219178082,27
1659,within an hour,100,95,f,t,t,Harlem,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,105.0,7,30,7.0,4.85,4.91,4.95,4.95,4.74,4.81,f,0.084931506849315,34
1662,within an hour,100,100,t,t,t,Bedford-Stuyvesant,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,225.0,3,365,3.0,4.81,4.86,4.91,4.95,4.68,4.81,f,0.1260273972602739,63
1742,within an hour,100,98,t,t,t,Harlem,Private room in townhouse,Private room,2,1.5,1.5 baths,1.0,1.0,119.0,1,28,2.0,4.98,4.97,4.99,4.98,4.88,4.97,f,0.6054794520547945,36
1832,within an hour,100,90,f,t,t,Huguenot,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,84.0,1,4,1.0,4.88,4.93,4.95,4.96,4.9,4.86,f,0.1726027397260274,40
1839,within an hour,100,88,f,t,t,Mount Hope,Private room in townhouse,Private room,2,1.0,1 shared bath,1.0,1.0,151.0,2,28,2.0,4.54,4.72,4.69,4.66,4.36,4.48,f,0.0,29
1844,within an hour,100,100,t,t,t,Bedford-Stuyvesant,Entire guest suite,Entire home/apt,6,1.0,1 bath,3.0,4.0,349.0,2,90,2.0,4.88,4.81,4.96,4.95,4.68,4.84,f,0.1972602739726027,51
1871,within an hour,100,88,f,t,t,Mount Hope,Private room in townhouse,Private room,2,1.0,1 shared bath,1.0,1.0,151.0,2,28,2.0,4.56,4.65,4.75,4.74,4.44,4.37,f,0.021917808219178,30
1875,within an hour,100,100,t,t,t,Prospect-Lefferts Gardens,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,135.0,5,60,5.0,4.9,4.9,4.98,4.92,4.84,4.78,f,0.2575342465753424,71
1904,within an hour,100,97,t,t,t,Sunset Park,Private room in townhouse,Private room,2,1.5,1.5 baths,1.0,1.0,150.0,4,1125,4.0,4.99,5.0,5.0,5.0,4.9,4.96,f,0.2767123287671232,50
1906,within a few hours,100,96,f,t,t,Concourse Village,Private room in townhouse,Private room,2,1.0,1 private bath,1.0,2.0,115.0,2,1125,2.0,4.65,4.6,4.55,4.55,4.3,4.45,f,0.1260273972602739,4
1936,within an hour,100,94,t,t,t,Bedford-Stuyvesant,Private room in townhouse,Private room,2,1.0,1 private bath,1.0,2.0,179.0,2,1124,5.0,4.72,4.77,4.9,4.95,4.5,4.6,f,0.3835616438356164,46
1969,within an hour,100,100,t,t,t,Bushwick,Private room in home,Private room,6,1.0,1 private bath,2.0,3.0,390.0,2,60,2.0,4.96,4.76,4.97,5.0,4.87,4.84,t,0.0931506849315068,68
2003,within an hour,100,99,f,t,t,Ditmars Steinway,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,46.0,30,1125,1.0,4.44,4.54,4.59,4.68,4.66,4.53,t,0.2904109589041095,26
2013,within an hour,100,100,t,t,t,Flatlands,Private room in home,Private room,2,1.0,1 private bath,2.0,2.0,143.0,3,360,3.0,4.8,4.92,4.87,4.85,4.53,4.78,t,0.0356164383561643,52
2016,within an hour,98,99,f,t,f,Bedford-Stuyvesant,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,2.0,136.0,5,1125,5.0,4.54,4.43,4.9,4.93,4.65,4.54,t,0.3342465753424657,18
2080,within an hour,100,98,f,t,t,Bedford-Stuyvesant,Private room in rental unit,Private room,2,1.0,1 private bath,0.0,2.0,150.0,2,30,2.0,4.78,4.8,4.79,4.72,4.73,4.8,f,0.0821917808219178,34
2082,within an hour,100,99,t,t,t,Bedford-Stuyvesant,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,2.0,155.0,2,29,2.0,4.7,4.81,4.91,4.9,4.58,4.75,f,0.3671232876712328,33
2095,within an hour,100,100,t,t,t,Lower East Side,Private room in condo,Private room,2,1.0,1 shared bath,1.0,3.0,225.0,5,1125,7.0,4.94,4.93,4.98,4.96,4.92,4.83,f,0.4383561643835616,19
2151,within a few hours,100,81,f,t,t,Flatbush,Private room in home,Private room,2,1.5,1.5 baths,2.0,2.0,170.0,3,24,3.0,4.72,4.78,4.95,4.92,4.88,4.72,f,0.1863013698630137,36
